isimler,linkler,tarihler,aciklamalar
Kuş Uçuşu,https://www.imdb.com/title/tt13323566/?ref_=sr_t_1,2022– ,"A young fan maneuvers her way into a seasoned anchor's newsroom but soon confronts the dark side of ambition, envy and the desire to be seen."
Şahsiyet,https://www.imdb.com/title/tt7920978/?ref_=sr_t_2,2018– ,A man diagnosed with Alzheimer's decides to punish criminals.
Yabani,https://www.imdb.com/title/tt28334633/?ref_=sr_t_3,2023– ,"The life of a young boy named Yaman growing up on the streets, along with his friends, as they face challenges of survival."
Aile,https://www.imdb.com/title/tt21764804/?ref_=sr_t_4,2023– ,"Aile is a story of Aslan who is the son of a large family, runs a nightclub. An extremely shrewd man. He is a dark and mysterious character. Psychologist Devin will enter the life of this difficult man and it becomes intense."
Gibi,https://www.imdb.com/title/tt13675832/?ref_=sr_t_5,2021– ,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.
Sen Çal Kapimi,https://www.imdb.com/title/tt12439466/?ref_=sr_t_6,2020–2021,"Due to circumstances, Serkan and Eda will have to pretend to be engaged. Comedy begins. And romance?"
Çukur,https://www.imdb.com/title/tt7431994/?ref_=sr_t_7,2016–2021,"A dangerous neighborhood, ""The Pit"", ran by a noble mafia family called Koçovali. When the family is in the danger of losing the control of The Pit, their youngest son now must come back to his home, where he could never escape from."
Yali Çapkini,https://www.imdb.com/title/tt21105088/?ref_=sr_t_8,2022– ,"Halis Aga, the pillar of one of Gaziantep's well-established families, decides to marry off his unruly grandson Ferit to bring him into line."
Kuruluş: Osman,https://www.imdb.com/title/tt11093718/?ref_=sr_t_9,2019– ,"The series will focus on the life of Osman Bey, the son of Ertugrul Gazi and the founder of the Ottoman Empire."
Atatürk 1881 - 1919,https://www.imdb.com/title/tt15676170/?ref_=sr_t_10,2023– ,"The life story of Veteran Mustafa Kemal Atatürk, the founding father of the Republic of Turkey and its first President, supreme commander of Turkish War of Independence, and revolutionary statesman."
Yargı,https://www.imdb.com/title/tt12979628/?ref_=sr_t_11,2021– ,Follows how a fearless lawyer and a renowned prosecutor meet during a crime investigation.
Terzi,https://www.imdb.com/title/tt15473010/?ref_=sr_t_12,2023,A famous tailor begins to sew a wedding dress for his best friend's fiance- but all three have dark secrets that will soon upend their lives.
Hudutsuz Sevda,https://www.imdb.com/title/tt29258720/?ref_=sr_t_13,2023– ,The series followed Halil Ibrahim as he seeks revenge for the death of the love of his life. His plans are derailed when he meets Zeynep from the Leto family.
Kızılcık Şerbeti,https://www.imdb.com/title/tt21764074/?ref_=sr_t_14,2022– ,A love story between two extreme families with the same truth but different methods.
Ilk Ve Son,https://www.imdb.com/title/tt14753620/?ref_=sr_t_16,2021,"The story of Deniz and Baris's relationship spanning 10 years. The two young people who met in their mid-20s, until the day they divorced; sometimes sunny, sometimes cloudy, sometimes stormy, sometimes possible, often impossible love story."
Kara Sevda,https://www.imdb.com/title/tt5133998/?ref_=sr_t_17,2015–2017,A young artist finds herself obligated to sacrifice her love story for hiding a family secret.
Hakan: Muhafız,https://www.imdb.com/title/tt7668518/?ref_=sr_t_18,2018–2020,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy."
Bambaşka Biri,https://www.imdb.com/title/tt22727518/?ref_=sr_t_19,2023,"The brutal murder of Hamdi Atilbay brings together the paths of young prosecutor Leyla, and a famous journalist Kenan. However, this murder is covered with facts that will also destroy their love."
Kizil Goncalar,https://www.imdb.com/title/tt28334662/?ref_=sr_t_20,2023– ,"A mother and daughter flee to escape from a forced marriage in a restrictive sect. The mother works for a progressive psychiatrist whose daughter's identity causes turmoil, despite their growing bond."
Siyah Beyaz Aşk,https://www.imdb.com/title/tt7550774/?ref_=sr_t_21,2017–2018,A doctor who has devoted herself to healing others encounters a cold-blooded killer with a wounded past. What happens when the woman who saves lives is captured by the man who takes them?
Adım Farah,https://www.imdb.com/title/tt21874046/?ref_=sr_t_22,2023,Farah is a 28-year-old Iranian doctor who works illegally as a cleaner in Istanbul and witnesses a murder committed by the mafia.
Ezel,https://www.imdb.com/title/tt1534360/?ref_=sr_t_23,2009–2011,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
Kurtlar Vadisi,https://www.imdb.com/title/tt0421384/?ref_=sr_t_24,2003–2005,Follows a Turkish agent working under the assumed identity of Polat Alemdar attempting to infiltrate the Turkish mafia.
Aşk-ı Memnu,https://www.imdb.com/title/tt1286677/?ref_=sr_t_25,2008–2010,"Rich Adnan marries Bihter, who is younger than him. A poisonous forbidden love begins between Adnan's nephew Behlül and Bihter who lives in the same mansion."
Diriliş: Ertuğrul,https://www.imdb.com/title/tt4320258/?ref_=sr_t_26,2014–2019,"The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire."
Prens,https://www.imdb.com/title/tt14533970/?ref_=sr_t_27,2023– ,"Bongomia is a country that no one cares about, in a history that no one cares about. After the sudden and suspicious death of Thun, king of Bongomia, a complicated story begins when the Prince, whom no one takes seriously and whose family does not even bother to name, comes to the throne."
Kiralik Ask,https://www.imdb.com/title/tt4787052/?ref_=sr_t_28,2015–2017,"When Defne's brother gets into debt and is held captive, Defne is forced to accept an offer in exchange for the money. She has to make Omer, a wealthy shoe designer who owns a company, fall in love with her and marry her."
Behzat Ç.: Bir Ankara Polisiyesi,https://www.imdb.com/title/tt1795096/?ref_=sr_t_29,2010–2019,An inharmonious police team in Ankara Police Force and its discredited police chief fight crime.
Arak,https://www.imdb.com/title/tt30054237/?ref_=sr_t_30,2023– ,"In 1998, Elif Çinar, the wife of Rauf Çinar, one of the country's leading economics professors, is stabbed by a burglar named Necip Talan. The lives of these two families from completely different worlds change after that night."
Leyla ile Mecnun,https://www.imdb.com/title/tt1831164/?ref_=sr_t_31,2011–2023,"It is an unique and heartwarming show follows the extraordinary journey of a couple named Leyla and Mecnun. With Ali Atay portraying Mecnun and Ezgi Asaroglu as Leyla, the series has garnered a massive fan base and critical acclaim."
Erkenci Kus,https://www.imdb.com/title/tt8478162/?ref_=sr_t_32,2018–2019,"Famous photographer Can Divit returns to Istanbul to save his family's advertising agency from ruin. The only person he trusts there is Sanem, a young aspiring writer. She is not convinced in his honesty, but soon falls for his charm."
Eskiya Dünyaya Hükümdar Olmaz,https://www.imdb.com/title/tt5175270/?ref_=sr_t_33,2015–2021,The series tells the life of Hizir Cakirbeyli. It has entered the realm of the mafia at a young age.
Kulüp,https://www.imdb.com/title/tt13317582/?ref_=sr_t_34,2021–2023,"In cosmopolitan 1950s Istanbul, a mother with a troubled past works at a nightclub to reconnect with and help the rebellious daughter she couldn't raise."
Kara Para Aşk,https://www.imdb.com/title/tt3565486/?ref_=sr_t_35,2014–2015,"Omar is a police officer. After the death of his fiancé he suffers great pain. Sibel, Omar's fiancée's body was found on the top of a cliff, in a car next to a fairly old, rich business man. After the shock of her sudden death and the accusations of his love cheating on him, Omar realizes that there is more behind her suspicious murder."
Sandik Kokusu,https://www.imdb.com/title/tt29926954/?ref_=sr_t_36,2023– ,"It is a hopeful story of a family starting over in Adana and extending to Istanbul, with an impressive atmosphere."
Muhtesem Yüzyil: Kösem,https://www.imdb.com/title/tt4787028/?ref_=sr_t_37,2015–2017,"Anastasia a young Greek woman in Ahmed I's harem takes on the name 'Kosem' (leader, pioneer). In a world of men, she rules of the Ottoman Empire through her sons and grandson."
Şahmaran,https://www.imdb.com/title/tt16913068/?ref_=sr_t_38,2023– ,"When Sahsu goes to Adana for a lecture, it's the perfect chance to face her estranged grandfather. But soon, she finds herself in the midst of a legend."
Kudüs Fatihi Selahaddin Eyyubi,https://www.imdb.com/title/tt21856856/?ref_=sr_t_39,2023– ,"The life of Muslim ruler Saladin and he conquered Jerusalem. Furthermore, it focuses on his battles against the Crusaders and his goal to unite the Muslim territories of Syria, northern Mesopotamia, Palestine and Egypt under his rule."
Günesi Beklerken,https://www.imdb.com/title/tt3052000/?ref_=sr_t_40,2013–2014,"Looking for a better life, Demet tries to convince her only daughter Zeynep to leave their home village. They move into Demet's old friend's house Jale, and Zeynep is able to enroll at the same private college as where Jale works as the principal."
Muhteşem Yüzyıl,https://www.imdb.com/title/tt1848220/?ref_=sr_t_41,2011–2014,"From 1520, follows Suleiman the Magnificent and his relatives from his great conquests to the ""Battle of Szigeth""."
Içerde,https://www.imdb.com/title/tt6051216/?ref_=sr_t_42,2016–2017,"A story of two brothers torn from each other. Now on the opposite sides of the law, brothers Sarp and Mert are put against each other, unaware of their fraternity."
Hercai,https://www.imdb.com/title/tt9721776/?ref_=sr_t_43,2019–2021,Miran is seeking revenge for his parents death so he plans to marry daughter Reyyan from the family who were responsible for that. Unexpectedly he falls in love with Reyyan. Will this change the plan?
Biz Kimden Kaçıyorduk Anne?,https://www.imdb.com/title/tt16163746/?ref_=sr_t_44,2023,"Hiding a mysterious past, a mother lives like a nameless fugitive with her daughter as they make hotels their home and see everyone else as a threat."
Vatanım Sensin,https://www.imdb.com/title/tt6132720/?ref_=sr_t_45,2016–2018,"During the occupation of Izmir by the Greeks, a Turkish soldier starts to work for the enemy. But he is not really on the side of the enemy. He must keep this secret at the cost of losing his family."
Yasak Elma,https://www.imdb.com/title/tt8045936/?ref_=sr_t_46,2018–2023,"Three things in life can not be hidden ""love, smoke and lack of money"". The social society and the events behind the business world are told."
Another Self,https://www.imdb.com/title/tt14899624/?ref_=sr_t_47,2022– ,Three close friends set off on a journey to Ayvalik and then to their reshaped future.
Ayak Isleri,https://www.imdb.com/title/tt14344266/?ref_=sr_t_48,2021–2023,"Experienced missionary Vedat and philosophy-educated, politically correct Evren are the duo assigned to the 'extremely important' errands of a wealthy businessman. This discordant duo, one of whom closes his eyes and does his duty, questions his name, embarks on another adventure. But more they conflict within themselves than they do on duty."
Safir,https://www.imdb.com/title/tt28355499/?ref_=sr_t_49,2023– ,"Yaman and Feraye, who have kept a great love hidden from everyone since childhood, have very little time left before they are reunited again."
Aşk 101,https://www.imdb.com/title/tt10516352/?ref_=sr_t_50,2020–2021,"In 1990s Turkey, a group of teenage outcasts band together to make their beloved teacher fall in love so she'll have a reason to stay in town with them."
Kurtlar Vadisi: Pusu,https://www.imdb.com/title/tt1018501/?ref_=sr_t_51,2007–2016,"Valley of the Wolves, the legendary action drama, centers around Polat Alemdar and follows his journey to serve his country by trying to uncover the truth and defeating the secret enemies aka the controllers of the global power."
Sakla Beni,https://www.imdb.com/title/tt29626178/?ref_=sr_t_52,2023– ,"An encounter between Incila, Naz's despised assistant and Mete begins to change the direction of Naz's future, where she plans everything with Mete with a toxic passion."
Fi,https://www.imdb.com/title/tt6724368/?ref_=sr_t_53,2017–2018,"The story of those who pursue passion, those who fly at the expense of burning and those who stand up against life in pain."
Destan,https://www.imdb.com/title/tt14779804/?ref_=sr_t_54,2021–2022,"The epic love story of Akkiz, a warrior mountain girl, and disabled Prince Batuga, who were both orphaned by Gök Han in the 8th century in the harsh steppes of Central Asia."
Aynen Aynen,https://www.imdb.com/title/tt10841904/?ref_=sr_t_55,2019–2021,The series tells the story of Deniz and Nil's entertaining relationship by explaining the relationship between men and women in a humorous as well as realistic language. We see the situations in which Nil and Deniz want to show themselves to the other party in the relationship and in fact their own real thoughts.
Ya Çok Seversen,https://www.imdb.com/title/tt28228754/?ref_=sr_t_56,2023,"Ates was sent to boarding school after his mother's death and never returned home. He trusts no one. Leyla, on the other hand, has never known her family and earns money by cheating. What will happen when they cross paths?"
Mucize Doktor,https://www.imdb.com/title/tt10723804/?ref_=sr_t_57,2019–2021,"A distinguished surgical unit turns upside down when a strange new resident joins the team. Ali has Savant syndrome, making it hard for him to communicate with other people, even though he is a phenomenal doctor."
Kübra,https://www.imdb.com/title/tt26760483/?ref_=sr_t_58,2024– ,"Follows Gökhan Ahinolu, whose connection with his girlfriend is strained after he gets a message from a user named Kübra. Everything will alter due to this communication, and something unexpected will happen."
Atiye,https://www.imdb.com/title/tt10075318/?ref_=sr_t_59,2019–2021,A painter in Istanbul embarks on a personal journey as she unearths universal secrets about an Anatolian archaeological site and its link to her past.
Son Yaz,https://www.imdb.com/title/tt13322702/?ref_=sr_t_60,2021,"Idealist Public Prosecutor Selim receives an offer he cannot refuse from organized crime leader Selcuk Taskin, whom he sent to prison. Selcuk will testify in the prosecutor's case, but in return, he asks the prosecutor to protect his son."
Yakamoz S-245,https://www.imdb.com/title/tt13317454/?ref_=sr_t_61,2022,"After disaster strikes Earth, a marine biologist on a submarine research mission must fight to survive with the crew as a conspiracy comes to light."
Kuzgun,https://www.imdb.com/title/tt9529500/?ref_=sr_t_62,2019,"Kuzgun's family life changes completely as a result of the caliper held against his father, who is a police. Kuzgun will fall into a bondage, pain, anger, and struggle that will last 20 years."
Aşk Mantık İntikam,https://www.imdb.com/title/tt14814006/?ref_=sr_t_63,2021–2022,"A couple gets divorced after several years of marriage. After that, the man suddenly gets rich, and life changes again when his ex-wife starts working with him."
Dogu,https://www.imdb.com/title/tt14183052/?ref_=sr_t_64,2021– ,"Dogu is a young man who is not successful in anything. The dream of Dogu, which is not supported by anyone, is to be a comedian. He strives to make his dream come true."
Alparslan: Büyük Selçuklu,https://www.imdb.com/title/tt15087526/?ref_=sr_t_65,2021–2023,"The TRT production is a prequel story of Awakening: the Great Seljuk. It depicts the life and triumphs of Sultan Alparslan, the second sultan of the Seljuk dynasty, whose victories expanded the empire in the 11th century."
Kardeslerim,https://www.imdb.com/title/tt13550498/?ref_=sr_t_66,2021– ,4 siblings have to struggle with life after their parents' death.
Muhtesem Ikili,https://www.imdb.com/title/tt9083954/?ref_=sr_t_67,2018–2019,"Muhtesem Ikili is an adaption of the famous American movie, Tango and Cash. A story of two police officer Mert Barca and Mustafa Kerim Can / MKC. Barca and MKC, are forced to come together for a drug operation."
Seref Meselesi,https://www.imdb.com/title/tt4312318/?ref_=sr_t_68,2014–2015,Follow the Kilic brothers as they take different paths in life after moving from the tiny Ayvalik to the vibrant Istanbul.
Bir Derdim Var,https://www.imdb.com/title/tt29291631/?ref_=sr_t_69,2023,"Dr. Nilüfer is constantly pursuing a secret that could jeopardize her work, which will lead to a major conflict with the inflexible prosecutor Ömer (Mert Firat)."
Günesin Kizlari,https://www.imdb.com/title/tt4912412/?ref_=sr_t_70,2015–2016,Gunes is a 35 years old woman and a literature teacher whose husband left her with no reason. So she decides to get married in order to afford a good future for her three daughters.
Çarpisma,https://www.imdb.com/title/tt9114372/?ref_=sr_t_71,2018–2019,It is about life that intersects with the collision of four cars.
Sila,https://www.imdb.com/title/tt0875103/?ref_=sr_t_72,2006–2008,A young woman's forced marriage to the agha of a tribe in Southeastern Turkey leads to tragedy and social change.
Kadin,https://www.imdb.com/title/tt7661932/?ref_=sr_t_73,2017–2020,"Bahar, a loving mother who struggles to maintain a life with her two children, must deal with life's challenges and uncover the hidden truths of the past."
Sadakatsiz,https://www.imdb.com/title/tt12879200/?ref_=sr_t_74,2020–2022,"Asya is a successful doctor who has the perfect life with her husband and son. But after she finds a blonde hair on her husband's scarf, she discovers his extramarital affair and everything changes."
Gülcemal,https://www.imdb.com/title/tt22728026/?ref_=sr_t_75,2023,Abandoned by his mother as a boy. A man years later vows to get revenge on the mom and her new family all while unknowingly falling in love with her adopted daughter.
aşk Laftan Anlamaz,https://www.imdb.com/title/tt5768632/?ref_=sr_t_76,2016–2017,Hayat is a country girl with strict parents. She is in a love hate relationship with her boss Murat. Hayat is full of secrets that can ruin her career and relationship.
Duy Beni,https://www.imdb.com/title/tt20248478/?ref_=sr_t_77,2022,"Disadvantaged students earn scholarships to matriculate at a privileged kids' high school to investigate an accident that left their best friend paralyzed. They confront prejudice and intrigue, unsure of who is friend, foe, or culprit."
Bu Şehir Arkandan Gelecek,https://www.imdb.com/title/tt6384676/?ref_=sr_t_78,2017,"Rauf, who is working as a cook on cargo ships, adopts and raises Ali who witnessed his mother's death when he was 5 years old. They work on ships for 24 years together. Rauf was both mother and father to Ali and has devoted his life to Ali to help him forget the trauma he had endured. With the support of Rauf, whom he calls ""Mother"", Ali gets maritime training."
Poyraz Karayel,https://www.imdb.com/title/tt4343334/?ref_=sr_t_79,2015–2017,"A defamed ex-cop, who is struggling to get back his son, is put on undercover duty within the biggest mafia in Istanbul."
Hekimoglu,https://www.imdb.com/title/tt11256260/?ref_=sr_t_80,2019–2021,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.
Marasli,https://www.imdb.com/title/tt12694140/?ref_=sr_t_81,2021,"Marasli (BurakDeniz) is a retired soldier turned bookstore owner. For Marasli, life changed drastically after his daughter is shot. One day, the beautiful Mahur (AlinaBoz) enters Marasli's bookstore and on that same day, she involuntarily gets involved in an incident. Marasli saves Mahur's life and from that day onwards, their fates will be linked."
Sahane Hayatim,https://www.imdb.com/title/tt28379984/?ref_=sr_t_82,2023– ,"Full of intrigue, love, and emotion, Sebnem's unsettling life of being born with great injustices, working hard to overcome them, doing what was necessary to do so, and now trying to rid herself of her criminal past."
Bozkır,https://www.imdb.com/title/tt9278408/?ref_=sr_t_83,2018– ,"In his profession, experienced captain Seyfi and rookie policeman Nuri Pamir face a child murder in the city. This murder leads them to the city's populated business man Abbas and his daughter Dilara."
Ramo,https://www.imdb.com/title/tt11051886/?ref_=sr_t_84,2020–2021,The series will focus on the conflict between the two families and a great love that will flourish between this struggle.
